,Date,Close/Last,Volume,Open,High,Low
378,2018-11-19,185.86,41626820,190.0,190.7,184.99
379,2018-11-16,193.53,36191330,190.5,194.9695,189.46
380,2018-11-15,191.41,46271660,188.39,191.97,186.9
381,2018-11-14,186.8,60547340,193.9,194.48,185.93
382,2018-11-13,192.23,46725710,191.63,197.18,191.4501
383,2018-11-12,194.17,50991030,199.0,199.85,193.79
384,2018-11-09,204.47,34317760,205.55,206.01,202.25
385,2018-11-08,208.49,25289270,209.98,210.12,206.75
386,2018-11-07,209.95,33291640,205.97,210.06,204.13
387,2018-11-06,203.77,31774720,201.92,204.72,201.69
388,2018-11-05,201.59,66072170,204.3,204.39,198.17
389,2018-11-02,207.48,91046560,209.55,213.65,205.43
390,2018-11-01,222.22,52954070,219.05,222.36,216.81
391,2018-10-31,218.86,38016810,216.88,220.45,216.62
392,2018-10-30,213.3,36487930,211.15,215.18,209.27
393,2018-10-29,212.24,45713690,219.19,219.69,206.09
394,2018-10-26,216.3,47191700,215.9,220.19,212.67
395,2018-10-25,219.8,29027340,217.71,221.38,216.75
396,2018-10-24,215.09,39992120,222.6,224.23,214.54
397,2018-10-23,222.73,38681170,215.83,223.25,214.7
398,2018-10-22,220.65,28751540,219.79,223.36,218.94
399,2018-10-19,219.31,32874330,218.06,221.26,217.43
400,2018-10-18,216.02,32389280,217.86,219.74,213.0
401,2018-10-17,221.19,22692880,222.3,222.64,219.34
402,2018-10-16,222.15,28802550,218.93,222.99,216.7627
403,2018-10-15,217.36,30280450,221.16,221.83,217.27
404,2018-10-12,222.11,39494770,220.42,222.88,216.84
405,2018-10-11,214.45,52902320,214.52,219.5,212.32
406,2018-10-10,216.36,41084070,225.46,226.35,216.05
407,2018-10-09,226.87,26656630,223.64,227.27,222.2462
408,2018-10-08,223.77,28784550,222.21,224.8,220.2
409,2018-10-05,224.29,33507770,227.96,228.41,220.58
410,2018-10-04,227.99,31961120,230.78,232.35,226.73
411,2018-10-03,232.07,28540490,230.05,233.47,229.78
412,2018-10-02,229.28,24435010,227.25,230.0,226.63
413,2018-10-01,227.26,23171020,227.95,229.42,226.35
414,2018-09-28,225.74,22560440,224.79,225.84,224.02
415,2018-09-27,224.95,29729270,223.82,226.44,223.54
416,2018-09-26,220.42,23430370,221.0,223.75,219.76
417,2018-09-25,222.19,22811140,219.75,222.82,219.7
418,2018-09-24,220.79,27581270,216.82,221.26,216.63
419,2018-09-21,217.66,95584080,220.78,221.36,217.29
420,2018-09-20,220.03,26388050,220.24,222.28,219.15
421,2018-09-19,218.37,26869880,218.5,219.62,215.3
422,2018-09-18,218.24,31495630,217.79,221.85,217.12
423,2018-09-17,217.88,36810120,222.15,222.95,217.27
424,2018-09-14,223.84,31801970,225.75,226.84,222.522
425,2018-09-13,226.41,41411350,223.52,228.35,222.57
426,2018-09-12,221.07,49118510,224.94,225.0,219.84
427,2018-09-11,223.85,35644510,218.01,224.299,216.56
428,2018-09-10,218.33,39194720,220.95,221.85,216.47
429,2018-09-07,221.3,37418910,221.85,225.37,220.71
430,2018-09-06,223.1,34121240,226.23,227.35,221.3
431,2018-09-05,226.87,33290830,228.99,229.67,225.1
432,2018-09-04,228.36,27363960,228.41,229.18,226.63
433,2018-08-31,227.63,43177540,226.51,228.87,226.0
434,2018-08-30,225.03,48696960,223.25,228.26,222.4
435,2018-08-29,222.98,27074260,220.15,223.49,219.41
436,2018-08-28,219.7,22751390,219.01,220.54,218.92
437,2018-08-27,217.94,20400770,217.15,218.74,216.33
438,2018-08-24,216.16,18457720,216.6,216.9,215.11
439,2018-08-23,215.49,18505780,214.65,217.05,214.6
440,2018-08-22,215.05,18965930,214.1,216.36,213.84
441,2018-08-21,215.04,25682700,216.8,217.19,214.025
442,2018-08-20,215.46,30149410,218.1,219.18,215.11
443,2018-08-17,217.58,35034410,213.44,217.95,213.16
444,2018-08-16,213.32,27595310,211.75,213.8121,211.47
445,2018-08-15,210.24,28595230,209.22,210.74,208.33
446,2018-08-14,209.75,20679270,210.155,210.56,208.26
447,2018-08-13,208.87,25864510,207.7,210.952,207.7
448,2018-08-10,207.53,24592460,207.36,209.1,206.67
449,2018-08-09,208.88,23389530,207.28,209.78,207.2
450,2018-08-08,207.25,22493750,206.05,207.81,204.52
451,2018-08-07,207.11,25525650,209.32,209.5,206.76
452,2018-08-06,209.07,25396100,208.0,209.25,207.07
453,2018-08-03,207.99,33408050,207.03,208.74,205.4803
454,2018-08-02,207.39,62317430,200.58,208.38,200.35
455,2018-08-01,201.5,67812280,199.13,201.76,197.31
456,2018-07-31,190.29,37847260,190.3,192.14,189.34
457,2018-07-30,189.91,20912890,191.9,192.2,189.07
458,2018-07-27,190.98,23975350,194.99,195.19,190.1
459,2018-07-26,194.21,19005150,194.61,195.96,193.61
460,2018-07-25,194.82,16553500,193.06,194.85,192.43
461,2018-07-24,193.0,18680930,192.45,193.6601,192.05
462,2018-07-23,191.61,15955820,190.68,191.96,189.56
463,2018-07-20,191.44,20670830,191.78,192.43,190.17
464,2018-07-19,191.88,20182050,189.69,192.55,189.69
465,2018-07-18,190.4,16365720,191.78,191.8,189.93
466,2018-07-17,191.45,15515000,189.75,191.87,189.2
467,2018-07-16,190.91,15009800,191.52,192.65,190.415
468,2018-07-13,191.33,12506830,191.08,191.84,190.9
469,2018-07-12,191.03,18000180,189.53,191.41,189.31
470,2018-07-11,187.88,18776390,188.5,189.7799,187.61
471,2018-07-10,190.35,15801370,190.71,191.28,190.1801
472,2018-07-09,190.58,19636390,189.5,190.68,189.3
473,2018-07-06,187.97,17426160,185.42,188.434,185.2
474,2018-07-05,185.4,16543880,185.26,186.41,184.28
475,2018-07-03,183.92,13954810,187.79,187.95,183.54
476,2018-07-02,187.18,17675210,183.82,187.3,183.42
